transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 1140,vertica_writer,vertica_writer,partners.order_upsellorderitem_history,dm_maker_sandbox.historical_data_completeness,5443551997883623002,1564456047364042239
iterator_v1: 119,vertica_writer,vertica_writer,ppc.yandex_sessions_cost,fortemp.cpc_cost,3288375579040754534,8415030744919671472
iterator_v2: 1192,vertica_writer,vertica_writer,partners.partners_contract,dm_maker_sandbox.b2b_product_conversion_v1,5767082907166327490,4434703051011755316
iterator_v2: 781,vertica_writer,vertica_writer,antifraud.fraud_type2action,dm_maker_sandbox.order_descriptive_attributes_v4,3339940530430444525,1394724702037159652
iterator_v2: 1247,vertica_writer,vertica_writer,analytics.order_base,analytics.order_forecast_adjusted,9030169330647550503,6737715804542325174
iterator_v2: 576,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.booking_channels_v2,3120000265886404500,5680310680732297640
iterator_v2: 458,vertica_writer,vertica_writer,hotcore.bar_rates,dm_maker_sandbox.bar_rates_coverage_new,1456558527096148337,6984355715211464764
iterator_v2: 512,vertica_writer,vertica_writer,analytics.b2b_partner,dm_maker_sandbox.fidelity_transactions_economics,6390997526089796197,4601887301744518733
iterator_v2: 420,vertica_writer,vertica_writer,analytics.otahotel,dm_maker_sandmox.webuser_info,3294040447945237763,2831302310179450402
iterator_v2: 684,vertica_writer,vertica_writer,public.calendar,dm_maker_sandbox.booking_base_v2,3469365486415644020,7539687845680944940
iterator_v2: 756,vertica_writer,vertica_writer,crm.handmade_upsell,dm_maker_sandbox.ops_costs_incident_prevention_action_log,3527487864899887553,2184900752376644728
iterator_v2: 1564,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.direct_supply_actions_cohorts_v1,3120000265886404500,8467711008075720599
iterator_v2: 1224,vertica_writer,vertica_writer,public.booking_cancellation,dm_maker_sandbox.session_multichannel_v2,7731680662453010698,7203057405901270778
iterator_v2: 499,vertica_writer,vertica_writer,ostrota.orders_orderitem,actualize.booking_reconcile,5396322364307994377,643173966845331239
iterator_v2: 712,vertica_writer,vertica_writer,static.geo,dm_maker_sandbox.partners_looks_chain,8644877248316943791,2654560944910036861
iterator_v2: 630,vertica_writer,vertica_writer,analytics.otahotel,dm_maker_sandbox.hotelpage_score_data_test,3294040447945237763,5458720021165709177
iterator_v2: 997,vertica_writer,vertica_writer,diadmin.tpp_payment,analytics.tpp_payments,8429808062658753703,5082398504168116573
iterator_v2: 341,vertica_writer,vertica_writer,metasearch.report_tripadvisor_click_cost_daily,dm_maker_sandbox.metasearch_cost,7887032396988543427,8939763255686406667
iterator_v2: 1485,vertica_writer,vertica_writer,ostrota.orders_orderhotcorerate_raw,dm_maker_sandbox.rate_payment_types,8755367300104534929,6014446309415736613
iterator_v2: 1103,vertica_writer,vertica_writer,analytics.calendar,dm_maker_sandbox.historical_data_completeness,4414217799599358126,1564456047364042239
iterator_v1: 48,vertica_writer,vertica_writer,public.orderlog,analytics.product_bookings_v2,5897854166476394446,2206210162323317989
iterator_v2: 1138,vertica_writer,vertica_writer,static.supplier_override_pricing_history,dm_maker_sandbox.historical_data_completeness,148283488693632672,1564456047364042239
iterator_v2: 1583,vertica_writer,vertica_writer,content.geo_region,dm_maker_sandbox.region_v4,8130830273804110191,2978054351862733733
iterator_v2: 1471,vertica_writer,vertica_writer,crm.profile_userconfig,dm_maker_sandbox.opscost_front_inboxes,155996626156555710,850453353973888762
iterator_v2: 998,vertica_writer,vertica_writer,cltv.user_understanding_v2,dm_maker_sandbox.cancellation_model_v1,589277608139569438,7260907446244371343
iterator_v1: 118,vertica_writer,vertica_writer,metasearch.dapi_clicklog,fortemp.dapi_session_cost,3506764016704715509,4207412102727113333
iterator_v2: 176,vertica_writer,vertica_writer,public.session_v2,dm_maker_sandbox.cost_per_session_,3798779775316339168,5856656808934267849
iterator_v2: 1028,vertica_writer,vertica_writer,analytics.b2b_partner_portrait,dm_maker_sandbox.sales_structure_v110,297875280344056040,5478365696687250880
iterator_v2: 660,vertica_writer,vertica_writer,public.booking_cancellation,dm_maker_sandbox.sessions_adunits_v2,7731680662453010698,2942473646078309295
